Palabra;Grupo;Entidad;Frecuencia;Porcentaje;Pareto;Polaridad;Negativa;Neutra;Positiva;Puntuacion;Critica;Molestia;Duda;Disgusto;Miedo;Alegria;Tristeza;Sorpresa;Confianza
gracias;GRACIAS;;28716;2,07%;1;Positiva;0;0;1;5;no critico;0;0;0;0;10;0;0;10
pago;PAGAR;;22697;1,63%;1;Neutra;0;1;0;0;no critico;7;9;7;0;0;0;0;0
tarjeta;TARJETA;;21914;1,58%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
pagar;PAGAR;;16867;1,21%;1;Neutra;0;1;0;0;no critico;7;9;7;0;0;0;0;0
mes;MES;;15827;1,14%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
cuotas;CUOTA;;14559;1,05%;1;Neutra;0;1;0;0;no critico;0;7;0;0;0;0;0;0
tiempo;TIEMPO;;13459;0,97%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
favor;POR FAVOR;;13133;0,95%;1;Neutra;0;1;0;0;no critico;0;8;0;0;0;0;0;0
atencion;ATENDER;;12747;0,92%;1;Neutra;0;1;0;1;no critico;5;0;5;0;5;0;0;0
cuenta;CUENTA;;11864;0,85%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
quiero;QUERER;;11631;0,84%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
minutos;MINUTOS;;11567;0,83%;1;;;;;;;;;;;;;;
saber;SABER;;11529;0,83%;1;Neutra;0;1;0;1;no critico;0;0;0;0;0;0;0;0
brindada;BRINDAR;;11131;0,80%;1;;;;;;;;;;;;;;
calificar;CALIFICAR;;11086;0,80%;1;;;;;;;;;;;;;;
compra;COMPRAR;;10787;0,78%;1;Neutra;0;1;0;0;no critico;0;3;0;0;7;0;0;8
deuda;DEUDA;;10097;0,73%;1;Negativa;1;0;0;-5;no critico;7;9;7;0;0;0;0;0
puedo;PODRIA;;9806;0,71%;1;Neutra;0;1;0;1;no critico;0;8;0;0;0;0;0;0
soles;SOLES;;9689;0,70%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
monto;MONTO;;9547;0,69%;1;Neutra;0;1;0;0;no critico;0;8;8;8;0;0;0;0
intereses;TASA INTERES;;9480;0,68%;1;Neutra;0;1;0;1;no critico;0;0;0;0;0;0;0;0
entonces;ENTONCES;;9074;0,65%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
