1,Palabra,Grupo,Entidad,Frecuencia,Porcentaje,Pareto,Polaridad,Negativa,Neutra,Positiva,Puntuacion,Critica,Molestia,Duda,Disgusto,Miedo,Alegria,Tristeza,Sorpresa,Confianza
2,seguro,seguro,,24015,24015,1,Neutra,0,1,0,0,no critico,0,7,0,0,0,0,0,9
3,gracias,gracias,,33789,33789,1,Positiva,0,0,1,5,no critico,0,0,0,0,10,0,0,10
4,saber,saber,,6004,6004,1,Neutra,0,1,0,1,no critico,0,0,0,0,0,0,0,0
5,hola,hola,,0,0,0,Neutra,0,0,0,0,0,0,0,0,0,0,0,0,0
6,buenas,bueno,,301,301,0,Positiva,0,0,1,3,no critico,0,0,0,0,6,0,0,9
7,quisiera,querer,,4219,0,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
8,tardes,tardes,,206,0,0,Negativa,1,0,0,-4,critico,9,0,10,0,0,0,0,0
9,dias,dia,,2091,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
10,quiero,querer,,4219,0,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
11,buenos,bueno,,301,301,0,Positiva,0,0,1,3,no critico,0,0,0,0,6,0,0,9
12,favor,favor,,13647,13647,1,Neutra,0,1,0,0,no critico,0,8,0,0,0,0,0,0
13,puedo,poder,,21827,0,1,Neutra,0,1,0,1,no critico,0,8,0,0,0,0,0,0
14,correo,correo,,7749,7749,1,Neutra,0,1,0,1,no critico,0,4,0,0,0,0,0,0
15,eps,eps,,4931,4931,1,Neutra,0,1,0,-1,no critico,0,0,0,0,0,0,0,0
16,poliza,poliza,,6559,6559,1,Neutra,0,1,0,0,no critico,0,9,0,0,0,0,0,9
17,pacifico,marca,,1137,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
18,vida,vida,,4726,4726,1,Neutra,0,1,0,-1,no critico,0,0,0,9,0,0,0,10
19,consulta,consultar,,21754,0,1,Neutra,0,1,0,-1,no critico,0,9,0,0,0,0,0,0
20,dia,dia,,2091,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
21,informacion,informar,,10093,0,1,Neutra,0,1,0,1,no critico,0,10,0,0,0,0,0,0
22,muchas,mucho,,3543,0,1,Neutra,0,1,0,1,no critico,0,4,0,0,0,0,0,0
23,necesito,necesitar,,1798,0,1,Negativa,1,0,0,-4,critico,9,7,0,0,0,0,0,0
24,hacer,hacer,,1886,1886,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
25,empresa,empresa,,3296,3296,1,Neutra,0,1,0,0,no critico,0,7,0,0,0,0,0,8
26,numero,numero,,5209,5209,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
27,salud,salud,,5061,5061,1,Negativa,1,0,0,-5,critico,0,10,0,10,0,0,0,9
28,soat,soat,,3745,3745,1,Neutra,0,1,0,-1,no critico,0,9,0,0,0,0,0,0
29,placa,placa,,2249,2249,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
30,cuanto,cuanto,,1699,1699,1,Neutra,0,1,0,0,no critico,0,7,0,0,0,0,0,0
31,pago,pagar,,2559,0,1,Neutra,0,1,0,0,no critico,7,9,7,0,0,0,0,0
32,cuenta,cuenta,,2785,2785,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
33,ustedes,usted,,1414,0,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
34,clinica,clinica,,3143,3143,1,Neutra,0,1,0,-1,no critico,0,0,0,0,0,0,0,0
35,dni,dni,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
